Scopus refine results values

"Your query : (TITLE-ABS-KEY( (""electric vehicle*"" OR ""plug-in vehicle*"" OR ""plug-in hybrid"" OR EV) AND (""distribution network"" OR ""distribution networks"" OR ""distribution system"" OR ""distribution systems"" OR ""distribution grid"" OR ""distribution feeder*"" OR ""radial feeder*"" OR ""low-voltage network"" OR ""LV network"" OR ""low voltage network"" OR ""medium-voltage network"" OR ""MV network"" OR ""medium voltage network"") AND ( ""charging station"" OR ""charging stations"" OR ""charging infrastructure"" OR ""charging facility"" OR ""charging facilities"" OR ""charging hub"" OR ""charging hubs"" OR ""electric vehicle supply equipment"" OR EVSE OR EVCS OR ""home charging"" OR ""residential charging"" OR ""home energy management"" OR ""smart home"" OR ""smart-home"" OR ""home battery"" OR ""residential storage"" OR siting OR ""siting and sizing"" OR sizing OR ""location-allocation"" OR ""location allocation"" OR ""facility location"" OR placement OR allocation OR ""infrastructure planning"" OR ""network planning"" ) AND ( ""power flow"" OR ""load flow"" OR ""power-flow"" OR ""load-flow"" OR ""voltage profile"" OR ""voltage constraint"" OR ""voltage constraints"" OR ""hosting capacity"" OR ""network reinforcement"" OR ""line capacity"" OR ""feeder capacity"" ) ) AND PUBYEAR > 2014 AND PUBYEAR < 2027 AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""ENER"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 417

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Balasundar, C.","2",,,,,,,"Alexandria Engineering Journal","1","Renewable Energy","22","The Royal Institute of Technology KTH","3","Bundesministerium für Verkehr und Digitale Infrastruktur","1","Croatia","1",,,,
,,,,"Bansal, R.C.","2",,,,,,,"Asian Journal of Control","1","Integer Programming","21","Zhejiang University","3","Business Finland","1","Czech Republic","1",,,,
,,,,"Bilal, M.","2",,,,,,,"Australian Journal of Electrical and Electronics Engineering","1","Electric Loads","20","University of Northumbria","3","Cape Peninsula University of Technology","1","Ecuador","1",,,,
,,,,"Bragatto, T.","2",,,,,,,"Batteries","1","Electric Load Distribution","19","National Institute of Technology Karnataka","3","Central Queensland University","1","Estonia","1",,,,
,,,,"Carere, F.","2",,,,,,,"Bulletin of Electrical Engineering and Informatics","1","Electric Vehicle Charging Stations","19","Universiti Tenaga Nasional","3","Chiang Mai University","1","Maldives","1",,,,
,,,,"Cazzato, F.","2",,,,,,,"Bulletin of the Polish Academy of Sciences Technical Sciences","1","State Of Charge","19","National Research University “Moscow Power Engineering Institute”","3","Chinese Society for Electrical Engineering","1","Malta","1",,,,
,,,,"Chakraborty, R.","2",,,,,,,"Ces Transactions on Electrical Machines and Systems","1","Ev Charging","18","Universidade do Porto","3","Chung-Ang University","1","Serbia","1",,,,
,,,,"Chavhan, S.","2",,,,,,,"Cleaner and Responsible Consumption","1","Solar Power Generation","18","Indian Institute of Technology Indian School of Mines, Dhanbad","3","City University of Hong Kong","1","Slovakia","1",,,,
,,,,"Chen, X.","2",,,,,,,"Computers and Industrial Engineering","1","Distributed Energy Resources","17","Tanta University","3","Council of Scientific and Industrial Research, India","1","Slovenia","1",,,,
,,,,"Chowdhury, R.","2",,,,,,,"Csee Journal of Power and Energy Systems","1","Electric Utilities","17","University of Wollongong","3","Cranfield University","1","Türkiye","1",,,,
,,,,"Cresta, M.","2",,,,,,,"Data Centric Engineering","1","Photovoltaic","17","Politecnico di Torino","3","Danmarks Tekniske Universitet","1","Undefined","1",,,,
,,,,"Dai, W.","2",,,,,,,"Eai Endorsed Transactions on Energy Web","1","Probability Distributions","17","LUT University","3","Department of Biotechnology, Ministry of Science and Technology, India","1","Uzbekistan","1",,,,
,,,,"Das, D.","2",,,,,,,"Ecti Transactions on Electrical Engineering Electronics and Communications","1","Vehicles","17","Universidad de Jaén","3","Eastern Kentucky University","1","Yemen","1",,,,
,,,,"Das, P.","2",,,,,,,"Electric Power Components and Systems","1","Voltage Regulators","17","Florida International University","3","Eesti Teadusagentuur","1",,,,,,
,,,,"Datta, A.","2",,,,,,,"Electrical Engineering and Electromechanics","1","Battery Energy Storage Systems","16","Khon Kaen University","3","Emergency Medicine Residents' Association","1",,,,,,
,,,,"Di Clerico, M.","2",,,,,,,"Energy Conversion and Management X","1","Battery Management Systems","16","Qena University","3","Energy Networks Australia","1",,,,,,
,,,,"Eid, A.","2",,,,,,,"Energy Exploration and Exploitation","1","Distribution Grid","16","Universiti Teknologi Malaysia","3","European Climate, Infrastructure and Environment Executive Agency","1",,,,,,
,,,,"ElGebaly, A.E.","2",,,,,,,"Energy Strategy Reviews","1","Intelligent Systems","16","Shahid Chamran University of Ahvaz","3","European Institute of Innovation and Technology","1",,,,,,
,,,,"ElNozahy, M.S.","2",,,,,,,"Engineering Access","1","Matlab","16","University of Technology Sydney","3","European Social Fund Plus","1",,,,,,
,,,,"Ellien, A.R.","2",,,,,,,"Engineering Optimization","1","Microgrid","16","Cardiff University","3","Eusko Jaurlaritza","1",,,,,,
,,,,"Falvo, M.C.","2",,,,,,,"Engineering Proceedings","1","Voltage Distribution Measurement","16","Qassim University","3","Federación Española de Enfermedades Raras","1",,,,,,
,,,,"Farsadi, M.","2",,,,,,,"Engineering Research Express","1","Electric Power System Control","15","University of Melbourne","3","Fondo Nacional de Desarrollo Científico y Tecnológico","1",,,,,,
,,,,"Farzin, H.","2",,,,,,,"Engineering Science and Technology an International Journal","1","Energy Resources","15","Vrije Universiteit Brussel","3","Foundation for Innovative Research Groups of the National Natural Science Foundation of China","1",,,,,,
,,,,"Gampa, S.R.","2",,,,,,,"Engineering Technology and Applied Science Research","1","Power Loss","15","S. V. National Institute of Technology","3","Fundação de Amparo à Pesquisa do Estado de Minas Gerais","1",,,,,,
,,,,"Gatta, F.M.","2",,,,,,,"Environmental Research Infrastructure and Sustainability","1","Electric Power Transmission","14","The University of Queensland","3","Fundação de Amparo à Pesquisa do Estado de São Paulo","1",,,,,,
,,,,"Geng, L.","2",,,,,,,"Expert Systems with Applications","1","Energy Management Systems","14","Islamic Azad University","3","Guangdong Power Grid Company","1",,,,,,
,,,,"Geri, A.","2",,,,,,,"Foundations and Trends in Electric Energy Systems","1","Hybrid Vehicles","14","Shahid Beheshti University","3","Guizhou Science and Technology Department","1",,,,,,
,,,,"Goli, P.","2",,,,,,,"Frontiers in Energy","1","Investments","14","Thiagarajar College of Engineering","3","Hebei Normal University of Science and Technology","1",,,,,,
,,,,"Gope, S.","2",,,,,,,"Hkie Transactions Hong Kong Institution of Engineers","1","Particle Swarm Optimization","14","Islamic Azad University, Sanandaj Branch","3","Helmholtz Association","1",,,,,,
,,,,"Guo, G.","2",,,,,,,"IEEE Journal of Emerging and Selected Topics in Industrial Electronics","1","Traffic Congestion","14","Grupo de Investigação em Engenharia e Computação Inteligente para a Inovação e o Desenvolvimento","3","Henan University of Science and Technology","1",,,,,,
,,,,"Gupta, N.","2",,,,,,,"IEEE Journal on Selected Areas in Communications","1","Algorithm","13","Madan Mohan Malaviya University of Technology","3","Higher Education Commission, Pakistan","1",,,,,,
,,,,"Haghifam, M.R.","2",,,,,,,"IEEE Systems Journal","1","Data Storage Equipment","13","Guangdong Power Grid Corporation","3","Hitachi America","1",,,,,,
,,,,"Hampannavar, S.","2",,,,,,,"IEEE Transactions on Control of Network Systems","1","Demand Response","13","Rajamangala University of Technology Isan","3","Hong Kong Arts Development Council","1",,,,,,
,,,,"Haque, A.","2",,,,,,,"IEEE Transactions on Power Delivery","1","Electric Network Analysis","13","Aalto University","3","Horizon 2020","1",,,,,,
,,,,"Hasan, K.N.","2",,,,,,,"IETE Journal of Research","1","Electrical Vehicles","13","Graphic Era Deemed to be University","3","Hrvatska Zaklada za Znanost","1",,,,,,
,,,,"Hemmati, R.","2",,,,,,,"Iet Smart Grid","1","Energy Dissipation","13","Prasad V Potluri Siddhartha Institute of Technology","3","Institute for Research in Fundamental Sciences","1",,,,,,
,,,,"Hernández, J.C.","2",,,,,,,"Indonesian Journal of Electrical Engineering and Computer Science","1","Natural Resources","13","B. V. Raju Institute of Technology","3","Institute of Research Management and Innovation, Universiti Teknologi MARA","1",,,,,,
,,,,"Hu, J.","2",,,,,,,"International Journal of Advanced Trends in Computer Science and Engineering","1","Renewable Energy Sources","13","College of Electrical Engineering, Zhejiang University","3","Instituto Nacional de Energia Elétrica","1",,,,,,
,,,,"Jadoun, V.K.","2",,,,,,,"International Journal of Electrical and Computer Engineering","1","Stochastic Models","13","FIU College of Engineering and Computing","3","Inönü Üniversitesi","1",,,,,,
,,,,"Jasthi, K.","2",,,,,,,"International Journal of Electrical and Electronic Engineering and Telecommunications","1","Cost Reduction","12","Faculty of Engineering","3","Iran National Science Foundation","1",,,,,,
,,,,"Joglekar, C.","2",,,,,,,"International Journal of Energy Research","1","Distribution Networks","12","Faculty of Engineering","3","Islamic Azad University","1",,,,,,
,,,,"Joorabian, M.","2",,,,,,,"International Journal of Heavy Vehicle Systems","1","Electric Automobiles","12","Faculty of Engineering","3","Kementerian Pendidikan Malaysia","1",,,,,,
,,,,"Jurado, F.","2",,,,,,,"International Journal of Industrial Engineering Computations","1","Electric Energy Storage","12","Armour College of Engineering","3","Khon Kaen University","1",,,,,,
,,,,"Karimi, M.","2",,,,,,,"International Journal of Intelligent Systems and Applications in Engineering","1","Electric Vehicle (ev)","12","Guizhou Power Grid Co Ltd","3","Kolej Pengajian Kejuruteraan, Universiti Teknologi MARA","1",,,,,,
,,,,"Kazmi, S.A.A.","2",,,,,,,"International Journal of Mathematical Engineering and Management Sciences","1","Harmonic Analysis","12","South Delta Electricity Distribution Company SDEDCo","2","Korea Electric Power Corporation","1",,,,,,
,,,,"Khunkitti, S.","2",,,,,,,"International Journal of Sustainable Transportation","1","Iterative Methods","12","Government Polytechnic College","2","Lawrence Berkeley National Laboratory","1",,,,,,
,,,,"Kirmani, S.","2",,,,,,,"International Journal of Transportation Science and Technology","1","Optimal Placement","12","Chiang Mai University","2","Lembaga Pengelola Dana Pendidikan","1",,,,,,
,,,,"Kotb, H.","2",,,,,,,"International Journal on Electrical Engineering and Informatics","1","Photovoltaic System","12","Universidade Federal Fluminense","2","Lloyd's Register Foundation","1",,,,,,
,,,,"Kurukuru, V.S.B.","2",,,,,,,"Journal of Building Engineering","1","Power Control","12","Visvesvaraya Technological University","2","Loughborough University","1",,,,,,
,,,,"Liserre, M.","2",,,,,,,"Journal of Engineering Research","1","Power Flows","12","National University of Science and Technology POLITEHNICA Bucharest","2","Ministerio de Economía y Competitividad","1",,,,,,
,,,,"Liu, M.Z.","2",,,,,,,"Journal of Engineering Science and Technology Review","1","Scheduling","12","Arizona State University","2","Ministry of Education, India","1",,,,,,
,,,,"Lopes, F.","2",,,,,,,"Journal of Engineering and Technology for Industrial Applications","1","Sensitivity Analysis","12","State Grid Corporation of China","2","Ministry of Higher Education","1",,,,,,
,,,,"Lu, Z.","2",,,,,,,"Journal of Intelligent and Fuzzy Systems","1","Smart Charging","12","Universiti Teknologi MARA","2","Ministry of Higher Education, Malaysia","1",,,,,,
,,,,"Maccioni, M.","2",,,,,,,"Journal of Solar Energy Research","1","Transportation Network","12","King Abdulaziz University","2","Ministry of Science and ICT, South Korea","1",,,,,,
,,,,"Madhavan, K.K.","2",,,,,,,"Journal of the Balkan Tribological Association","1","Voltage Deviations","12","Nanyang Technological University","2","Ministério da Educação","1",,,,,,
,,,,"Mahmoud, K.","2",,,,,,,"Machines","1","Active Distribution Networks","11","Puducherry Technological University","2","Mitacs","1",,,,,,
,,,,"Mathur, H.D.","2",,,,,,,"Mathematical Modelling of Engineering Problems","1","Buses","11","China University of Geosciences","2","Narodowe Centrum Badań i Rozwoju","1",,,,,,
,,,,"Maurya, R.","2",,,,,,,"Mathematics","1","Housing","11","Universidade Estadual Paulista Júlio de Mesquita Filho","2","National Postdoctoral Program for Innovative Talents","1",,,,,,
,,,,"Mehrjerdi, H.","2",,,,,,,"Measurement Sensors","1","Load Modeling","11","Newcastle University","2","National Renewable Energy Laboratory","1",,,,,,
